time,t1,t2,t1Shift,t2Shift,t1Filt,t2Filt,t1Fit,t1FitF,t2Fit,t2FitF
0.12202,2.47692e-06,6.009299999999999e-06,-3.38939e-06,8.303599999999994e-07,-3.3894356964916205e-06,8.303260320924864e-07,3.8116482626443515e-21,3.8116482626443515e-21,0.0,0.0
0.14346,2.4210599999999997e-06,5.044409999999999e-06,-3.44525e-06,-1.3453000000000056e-07,-3.3614744021450404e-06,1.0715771377870733e-07,3.1378335531035556e-18,3.1378335531035556e-18,0.0,0.0
0.16489,2.6967900000000003e-06,5.023880000000001e-06,-3.1695199999999996e-06,-1.5505999999999933e-07,-3.205459892186745e-06,-1.9800904955283342e-07,4.3171024684241464e-16,4.3171024684241464e-16,0.0,0.0
0.18633,2.7089799999999997e-06,5.35625e-06,-3.1573300000000002e-06,1.7730999999999983e-07,-3.1185134909104993e-06,-2.631695900850723e-07,1.8687434429352822e-14,1.8687434429352822e-14,0.0,0.0
0.20776999999999998,2.90722e-06,4.49261e-06,-2.95909e-06,-6.863300000000001e-07,-3.2657649503879058e-06,5.012326522451418e-08,3.642412125868632e-13,3.642412125868632e-13,0.0,0.0
0.22921,1.8603900000000002e-06,6.39008e-06,-4.00592e-06,1.2111400000000004e-06,-3.382239652391961e-06,8.593148267317272e-07,4.005685598654576e-12,4.005685598654576e-12,0.0,0.0
0.25065,2.17253e-06,6.74219e-06,-3.69378e-06,1.5632499999999998e-06,-3.835370405485817e-06,1.3192744582057489e-06,2.8822723829195274e-11,2.8822723829195274e-11,0.0,0.0
0.27209,2.32572e-06,5.83267e-06,-3.5405899999999998e-06,6.537299999999998e-07,-5.26050859473773e-06,9.100606296947095e-07,1.501503709862691e-10,1.501503709862691e-10,0.0,0.0
0.29353,1.56574e-06,5.46663e-06,-4.30057e-06,2.8768999999999995e-07,-3.526202616697186e-06,2.5439998554099195e-07,6.082875090699082e-10,6.082875090699082e-10,0.0,0.0
0.31496999999999997,4.00773e-06,5.2470299999999995e-06,-1.8585799999999997e-06,6.808999999999955e-08,5.4025712208183405e-06,-1.6993604899986164e-08,2.018552213999171e-09,2.018552213999171e-09,0.0,0.0
0.3364,3.1514200000000004e-05,5.122190000000001e-06,2.5647890000000005e-05,-5.6749999999999075e-08,1.226959110566894e-05,2.14285628548298e-07,5.7003006001385474e-09,5.7003006001385474e-09,0.0,0.0
0.35785,6.00763e-06,6.24671e-06,1.4132000000000037e-07,1.0677699999999998e-06,8.264346269827689e-06,7.188009997052073e-07,1.4125382280401322e-08,1.4125382280401322e-08,0.0,0.0
0.37928,7.21408e-06,5.617619999999999e-06,1.3477700000000005e-06,4.3867999999999916e-07,1.941405982683549e-06,9.245412431692206e-07,3.136453460808423e-08,3.136453460808423e-08,0.0,0.0
0.40071999999999997,1.00011e-05,6.267749999999999e-06,4.13479e-06,1.0888099999999995e-06,5.647361602155331e-07,2.498076066687407e-07,6.359798238119447e-08,6.359798238119447e-08,0.0,0.0
0.42216000000000004,5.86631e-06,3.87298e-06,0.0,-1.3059599999999996e-06,1.501447998229773e-06,-8.136880875636255e-07,1.1939227839155857e-07,1.1939227839155857e-07,0.0,0.0
0.44361000000000006,6.98613e-06,3.76916e-06,1.1198200000000004e-06,-1.40978e-06,4.077716768879109e-06,-8.567816397176545e-07,2.0993493979704625e-07,2.0993493979704625e-07,0.0,0.0
0.46503999999999995,2.46908e-05,6.05226e-06,1.8824490000000002e-05,8.733200000000003e-07,9.645256027937812e-06,5.376728221253277e-08,3.487098107118731e-07,3.487098107118731e-07,0.0,0.0
0.48648,5.8117700000000004e-06,5.56357e-06,-5.453999999999948e-08,3.846300000000001e-07,1.8017528226509815e-05,5.32982231637188e-07,5.517525456965911e-07,5.517525456965911e-07,0.0,0.0
