time,t1,t2,t1Shift,t2Shift,t1Filt,t2Filt,t1Fit,t1FitF,t2Fit,t2FitF
0.2281,2.47121e-06,7.16523e-06,-1.8951800000000004e-06,1.0689100000000007e-06,-1.8950693177808975e-06,1.0690158855255587e-06,3.392028140574571e-17,3.392028140574571e-17,0.0,0.0
0.24954,2.6536200000000004e-06,5.237240000000001e-06,-1.71277e-06,-8.590799999999986e-07,-1.7270019470983017e-06,-3.3254109309779136e-07,7.81670802846475e-16,7.81670802846475e-16,0.0,0.0
0.27098,2.7715199999999998e-06,5.8968899999999995e-06,-1.5948700000000006e-06,-1.9942999999999972e-07,-1.662966149581413e-06,-4.4106838817559956e-07,1.0823998981319841e-14,1.0823998981319841e-14,0.0,0.0
0.29241999999999996,2.56574e-06,6.23123e-06,-1.8006500000000003e-06,1.3491000000000088e-07,-1.632972854252528e-06,2.5294483971292854e-07,1.008164007869827e-13,1.008164007869827e-13,0.0,0.0
0.31386,2.85025e-06,6.88314e-06,-1.5161400000000004e-06,7.868200000000004e-07,-1.6442437847306249e-06,4.586294435280448e-07,6.854986750271999e-13,6.854986750271999e-13,0.0,0.0
0.33529000000000003,2.5386e-06,6.096319999999999e-06,-1.8277900000000002e-06,0.0,-1.8694109273865314e-06,-3.5157945179775505e-08,3.6134786348963324e-12,3.6134786348963324e-12,0.0,0.0
0.35674,2.25572e-06,5.35394e-06,-2.1106700000000004e-06,-7.423799999999993e-07,-2.1296411420348387e-06,-1.5133327299266597e-07,1.549812679585297e-11,1.549812679585297e-11,0.0,0.0
0.37817,2.47093e-06,7.164639999999999e-06,-1.8954600000000005e-06,1.0683200000000001e-06,-1.735606581428285e-06,6.484978313657273e-07,5.589359200847225e-11,5.589359200847225e-11,0.0,0.0
0.39960999999999997,4.36639e-06,7.20297e-06,0.0,1.1066500000000007e-06,-1.1448936306034213e-07,1.305605194427954e-06,1.7464196369547796e-10,1.7464196369547796e-10,0.0,0.0
0.42106000000000005,5.30457e-06,7.352569999999999e-06,9.381799999999992e-07,1.25625e-06,1.9305254159562396e-06,7.057959569854144e-07,4.833006350809729e-10,4.833006350809729e-10,0.0,0.0
0.44248999999999994,8.72087e-06,5.21049e-06,4.354479999999999e-06,-8.858299999999996e-07,2.023922320396889e-06,-5.273128935750547e-07,1.2043728290100597e-09,1.2043728290100597e-09,0.0,0.0
0.46393,2.38831e-06,4.7651599999999995e-06,-1.9780800000000005e-06,-1.3311599999999998e-06,-2.6081591430915583e-07,-8.043035732782121e-07,2.7459739025452085e-09,2.7459739025452085e-09,0.0,0.0
0.48536999999999997,2.31313e-06,6.782260000000001e-06,-2.0532600000000005e-06,6.859400000000016e-07,-2.072034559320997e-06,-5.2742832977622304e-08,5.794758118769109e-09,5.794758118769109e-09,0.0,0.0
0.50681,2.7980599999999997e-06,6.34217e-06,-1.5683300000000007e-06,2.4585000000000037e-07,-2.0125049301013078e-06,4.778154826838636e-07,1.143135660490756e-08,1.143135660490756e-08,0.0,0.0
0.52825,2.7611700000000004e-06,6.54613e-06,-1.60522e-06,4.4981000000000103e-07,-1.4696849644709094e-06,5.129598914407952e-07,2.1256803392160177e-08,2.1256803392160177e-08,0.0,0.0
0.5496800000000001,2.96899e-06,6.5852e-06,-1.3974000000000004e-06,4.888800000000008e-07,-1.373844505082999e-06,5.253206771750367e-07,3.7512158385972284e-08,3.7512158385972284e-08,0.0,0.0
0.57112,3.2265300000000003e-06,6.88034e-06,-1.13986e-06,7.84020000000001e-07,-1.4535356538535479e-06,5.288534843328575e-07,6.32317324449968e-08,6.32317324449968e-08,0.0,0.0
0.5925600000000001,2.32638e-06,6.19558e-06,-2.0400100000000002e-06,9.926000000000064e-08,-1.230958039400698e-06,4.771154542659226e-07,1.0230002083259668e-07,1.0230002083259668e-07,0.0,0.0
0.614,2.18012e-06,7.05824e-06,-2.1862700000000006e-06,9.619200000000006e-07,-1.9992461124078026e-06,5.481242025620655e-07,1.5954819381524563e-07,1.5954819381524563e-07,0.0,0.0
0.63544,3.05134e-06,6.2369500000000005e-06,-1.3150500000000002e-06,1.4063000000000123e-07,-5.3689222585128145e-06,7.164015972294331e-07,2.407815868400968e-07,2.407815868400968e-07,0.0,0.0
0.65688,2.7846100000000003e-06,7.36918e-06,-1.5817800000000001e-06,1.2728600000000007e-06,-1.180737671699644e-06,5.76381300294756e-07,3.5277163522176186e-07,3.5277163522176186e-07,0.0,0.0
0.67833,3.7710900000000003e-06,5.79696e-06,-5.953e-07,-2.9935999999999894e-07,2.064558659047758e-05,1.5874962357485037e-08,5.032857789412372e-07,5.032857789412372e-07,0.0,0.0
0.69976,7.69786e-05,5.71567e-06,7.261220999999999e-05,-3.806499999999995e-07,3.573060214260566e-05,-2.1465700433059447e-07,7.005943247597859e-07,7.005943247597859e-07,0.0,0.0
0.7212,2.7396e-06,6.38615e-06,-1.6267900000000004e-06,2.898300000000006e-07,2.0299442715647298e-05,2.899186286256631e-07,9.541478009153407e-07,9.541478009153407e-07,0.0,0.0
0.74264,3.44879e-06,7.04849e-06,-9.176000000000003e-07,9.521700000000004e-07,-1.060115183934379e-06,6.630657256888166e-07,1.2736161642881548e-06,1.2736161642881548e-06,0.0,0.0
0.76407,3.74535e-06,6.4015099999999995e-06,-6.210400000000003e-07,3.051900000000002e-07,-4.541562884361396e-06,2.6005826588854086e-07,1.6689086738797452e-06,1.6689086738797452e-06,0.0,0.0
0.78552,3.0712e-06,5.62724e-06,-1.2951900000000005e-06,-4.690799999999989e-07,-9.598610389993907e-07,-1.420523498023019e-07,2.1509199776052867e-06,2.1509199776052867e-06,0.0,0.0
0.80696,3.5510900000000003e-06,6.0832000000000005e-06,-8.153000000000001e-07,-1.3119999999998783e-08,-5.598104094789206e-07,1.698367760430963e-07,2.7292939513969735e-06,2.7292939513969735e-06,0.0,0.0
0.82839,2.70767e-06,7.2120100000000004e-06,-1.6587200000000004e-06,1.1156900000000012e-06,-1.2271285820692807e-06,4.000783731250019e-07,3.413918936997359e-06,3.413918936997359e-06,0.0,0.0
0.8498399999999999,3.5089400000000002e-06,5.631849999999999e-06,-8.574500000000002e-07,-4.6447e-07,-1.192539658765081e-06,-1.048589221471106e-07,4.215449440732955e-06,4.215449440732955e-06,0.0,0.0
