,gas,contrast,sample,auc1,auc2,m1,lam1,mu1,Q,chi1,aic1,m1f,lam1f,mu1f,chi1f,aic1f,m2,lam2,mu2,chi2,aic2,m2f,lam2f,mu2f,chi2f,aic2f,cc_auc,cc_ldrw,cc_fpt
0,room,sf6,s3,0.0017484106921925083,0.0031526079837703664,0.0013333201383318727,2.8404301184031033,2.966788381859721,6.8,1.6200566503044193e-05,-21318.200423823244,0.0013333201383318727,2.8404301184031033,2.966788381859721,1.6200566503044193e-05,-21318.200423823244,0.0014045535185001068,10.329946589261048,5.473405122743418,1.3272173736836591e-05,-21553.066020537597,0.0014045535185001068,10.329946589261048,5.473405122743418,1.3272173736836591e-05,-21553.066020537597,180.31278336653236,105.34255638389702,105.34255638389702
0,hyper,sf6,s2,0.001248686247468149,0.006171982645202575,0.0003276434092105429,5.477343421924931,3.451878478984429,1.8,9.965862191156307e-06,-25528.15374975653,0.0003276434092105429,5.477343421924931,3.451878478984429,9.965862191156307e-06,-25528.15374975653,0.0002758905368229758,19.882776481177117,12.209835343060831,5.6557055905634904e-06,-26300.29406375741,0.0002758905368229758,19.882776481177117,12.209835343060831,5.6557055905634904e-06,-26300.29406375741,494.27809889929995,84.20451291473688,84.20451291473688
0,room,air,s3,0.001396646060980639,0.004141152037669552,0.00021955868749357066,11.135522498063173,3.618457593270393,1.8,7.526643809243265e-06,-25090.798220335688,0.00021955868749357066,11.135522498063173,3.618457593270393,7.526643809243265e-06,-25090.798220335688,0.00017731714217750216,19.491105229629422,13.25134357219752,1.7067449502473437e-06,-27052.46274600141,0.00017731714217750216,19.491105229629422,13.25134357219752,1.7067449502473437e-06,-27052.46274600141,296.50690703712644,80.76070421157648,80.76070421157648
0,room,sf6,s4,0.0017656747527733925,0.002775120450477528,0.0012045235743940452,1.6849091003071957,3.4701229941324323,6.8,3.31997232861146e-05,-20197.318697954997,0.0012045235743940452,1.6849091003071957,3.4701229941324323,3.31997232861146e-05,-20197.318697954997,0.0012447136537518944,9.083289487537092,5.518808358962691,1.56175491426839e-05,-21074.390861264146,0.0012447136537518944,9.083289487537092,5.518808358962691,1.56175491426839e-05,-21074.390861264146,157.1705347272238,103.33659549818834,103.33659549818834
0,hyper,air,s4,0.001112138207400721,0.0036303294111550183,0.0002497049451364308,3.873887672178922,3.094864381584139,1.8,7.405504324123172e-06,-25892.825594690014,0.0002497049451364308,3.873887672178922,3.094864381584139,7.405504324123172e-06,-25892.825594690014,0.0001750035173062603,20.18093767187345,11.567162259529209,1.5699126868587602e-06,-28004.01362208043,0.0001750035173062603,20.18093767187345,11.567162259529209,1.5699126868587602e-06,-28004.01362208043,326.4279014062281,70.08412156621246,70.08412156621246
0,mix,sf6,s3,-0.004886937423499554,0.006418864868967193,0.000759777128261474,5.8625504063971805,2.5359816862916666,1.8,0.00018132060178868093,-20548.544627725707,0.000759777128261474,5.8625504063971805,2.5359816862916666,0.00018132060178868093,-20548.544627725707,0.00027532271287356025,12.036328860948405,13.092356955142728,4.5426007675723015e-06,-25348.715314680096,0.00027532271287356025,12.036328860948405,13.092356955142728,4.5426007675723015e-06,-25348.715314680096,-131.34739229729323,36.23729941746932,36.23729941746932
0,room,air,s1,0.0015774641078807568,0.0025573330148044634,0.0012515163303232768,3.4372318931441725,2.9020041916512653,6.8,1.833122617044404e-05,-15932.36943073874,0.0012515163303232768,3.4372318931441725,2.9020041916512653,1.833122617044404e-05,-15932.36943073874,0.0009926621350406784,11.437563173891,5.422651026073388,4.5585025766390776e-06,-17184.820020606803,0.0009926621350406784,11.437563173891,5.422651026073388,4.5585025766390776e-06,-17184.820020606803,162.11671644561923,79.31675448328075,79.31675448328075
0,mix,air,s4,0.0032227914207726025,0.003092745723159324,0.0006632625544227277,3.2224418013437255,3.4454812776697903,1.8,5.481742003024591e-05,-22699.932450629833,0.0006632625544227277,3.2224418013437255,3.4454812776697903,5.481742003024591e-05,-22699.932450629833,0.00013342604823551873,16.886708356964224,12.878577780915942,7.791255909310246e-07,-28378.47650585343,0.00013342604823551873,16.886708356964224,12.878577780915942,7.791255909310246e-07,-28378.47650585343,95.96481184680259,20.116626115226186,20.116626115226186
0,hyper,air,s5,0.001177152707275592,0.0016660079064269434,0.0005931367307603352,1.8419766486608515,2.9836685913946157,4.3,9.783279380569929e-06,-13495.276376377267,0.0005931367307603352,1.8419766486608515,2.9836685913946157,9.783279380569929e-06,-13495.276376377267,0.0003869079835330247,12.364093126098327,5.952053240263951,7.241164830458906e-07,-15432.26382548758,0.0003869079835330247,12.364093126098327,5.952053240263951,7.241164830458906e-07,-15432.26382548758,141.52861358852587,65.23082511464966,65.23082511464966
0,mix,sf6,s2,0.0019354773289041308,0.0013883770385776687,0.0008638394323203791,3.8064932857323317,3.7029947976344593,4.3,2.222229916459972e-05,-18940.80650555196,0.0008638394323203791,3.8064932857323317,3.7029947976344593,2.222229916459972e-05,-18940.80650555196,0.00025208724940917193,13.621342135625124,7.583631787391017,6.086304251718933e-07,-22793.87926933108,0.00025208724940917193,13.621342135625124,7.583631787391017,6.086304251718933e-07,-22793.87926933108,71.73305612232457,29.182188260616275,29.182188260616275
